language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,notes,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Korean,F,epr,epr_kor,5,3,pan,casual,7.116,,241.6,229.9,41.1,151.4,351.6,200.1,94.76,94.14,2.88,7.19,21.77,14.58,71.9,70.4,36.9,0.00929,0.00215,0.00372,0.0009,0.07827,0.07743,0.02628,6.28,-11.3,-18,16.8,0.0895,0.00929,0.00215,0.07827,0.02628
Korean,F,epr,epr_kor,5,4,con,polite,8.944,,226.9,229.5,33.8,155.2,315.2,160.1,93.72,94.11,2.61,7.61,19.88,12.27,70,68.2,33.1,0.00947,0.00238,0.00446,0.0007,0.07775,0.0821,0.026,4.52,-13.9,-15.3,16.3,0.0893,0.00947,0.00238,0.07775,0.026
Korean,F,epr,epr_kor,5,4,pan,casual,7.876,,236.8,234.1,35.4,163.9,337.4,173.4,94.47,94.45,2.54,8.56,21.05,12.49,71.2,69.1,35.1,0.00881,0.0022,0.00442,0.0006,0.08134,0.08061,0.02344,0.99,-11.5,-16.8,17,0.0773,0.00881,0.0022,0.08134,0.02344
Korean,F,epr,epr_kor,5,5,con,polite,6.71,,222.5,217.5,38.9,148.8,310.2,161.4,93.31,93.18,3.04,6.88,19.6,12.72,71.3,69.4,34.2,0.01107,0.0025,0.00502,0.0008,0.08691,0.10076,0.02515,0.68,-11.8,-13.6,15.3,0.1199,0.01107,0.0025,0.08691,0.02515
Korean,F,epr,epr_kor,5,5,pan,casual,5.64,,234.2,233.7,43,137.8,349.4,211.6,94.17,94.42,3.16,5.56,21.65,16.1,72,70.4,25.7,0.01121,0.00263,0.00466,0.0009,0.08381,0.09562,0.02646,-2.03,-10.9,-15.3,14.9,0.1139,0.01121,0.00263,0.08381,0.02646
Korean,F,epr,epr_kor,5,6,con,polite,9.232,,230.6,230.9,35.1,152.1,303.8,151.8,93.99,94.21,2.69,7.26,19.24,11.98,69,66.4,34.1,0.00756,0.00191,0.00369,0.0007,0.082,0.08061,0.03166,6.38,-12.6,-19.2,16.9,0.0812,0.00756,0.00191,0.082,0.03166
Korean,F,epr,epr_kor,5,6,pan,casual,7.805,,235.7,232.9,41.4,133.1,326.9,193.8,94.3,94.36,3.07,4.95,20.51,15.55,69.8,66.6,38.4,0.00811,0.00201,0.00353,0.0008,0.06769,0.05934,0.02306,2.03,-11.9,-19.2,16.3,0.0894,0.00811,0.00201,0.06769,0.02306
Korean,F,epr,epr_kor,5,7,con,polite,8.645,,234.9,233.8,39.8,169,339,170,94.26,94.43,2.93,9.09,21.14,12.05,70.6,68.7,37,0.00934,0.00196,0.00385,0.0007,0.07933,0.07666,0.02238,2.8,-13.1,-17.6,16.6,0.0851,0.00934,0.00196,0.07933,0.02238
Korean,F,epr,epr_kor,5,7,pan,casual,7.295,,233,225.2,45.2,130.9,354.2,223.3,94.04,93.78,3.38,4.72,21.89,17.18,70.3,68.8,35.3,0.00982,0.00207,0.00402,0.0008,0.08182,0.08519,0.02756,2.44,-12.8,-18.2,15.5,0.0864,0.00982,0.00207,0.08184,0.02754
Korean,F,epr,epr_kor,5,8,con,polite,8.958,,215.5,219.3,32.5,149.1,295.5,146.4,92.83,93.32,2.61,6.91,18.75,11.84,67.5,65.7,34,0.01065,0.00264,0.00498,0.0007,0.07984,0.07355,0.0249,1.87,-14.1,-18.1,16,0.0991,0.01065,0.00264,0.07984,0.0249
